qc,comparison_unit,metric,agg_level,original_value,reproduction_value,cv_star
Vstrict_run,C1,Vstrict,run,0.887,0.81,9.047661451661178
Vstrict_run,C2,Vstrict,run,0.727,0.81,10.767916612121187
Vstrict_run,C3,Vstrict,run,0.883,0.714,21.101301715930575
Vstrict_run,C4,Vstrict,run,0.761,0.905,17.235145488997215
Astrict_run,C1,Astrict,run,0.901,0.81,10.605199473200006
Astrict_run,C2,Astrict,run,0.758,0.714,5.960357718737983
Astrict_run,C3,Astrict,run,0.915,0.714,24.603813814365246
Astrict_run,C4,Astrict,run,0.802,0.714,11.574731612113865
Vstrict_topic_avg,C1,Vstrict,topic_avg,0.49,0.762,43.32035769785047
Vstrict_topic_avg,C2,Vstrict,topic_avg,0.36,0.694,63.187811620279646
Vstrict_topic_avg,C3,Vstrict,topic_avg,0.662,0.881,28.301251945356206
Vstrict_topic_avg,C4,Vstrict,topic_avg,0.648,0.848,26.657895484875734
Astrict_topic_avg,C1,Astrict,topic_avg,0.539,0.795,38.26587024443691
Astrict_topic_avg,C2,Astrict,topic_avg,0.424,0.742,54.38210678914651
Astrict_topic_avg,C3,Astrict,topic_avg,0.699,0.851,19.554168290635047
Astrict_topic_avg,C4,Astrict,topic_avg,0.631,0.808,24.52674586946219
Vstrict_all_topic_run,C1,Vstrict,all_topic_run,0.328,0.616,60.8342211539605
Vstrict_all_topic_run,C2,Vstrict,all_topic_run,0.297,0.613,69.24256527438581
Vstrict_all_topic_run,C3,Vstrict,all_topic_run,0.599,0.88,37.884852847701566
Vstrict_all_topic_run,C4,Vstrict,all_topic_run,0.61,0.885,36.67912442300294
Astrict_all_topic_run,C1,Astrict,all_topic_run,0.378,0.767,67.74411497838658
Astrict_all_topic_run,C2,Astrict,all_topic_run,0.438,0.742,51.37112008556664
Astrict_all_topic_run,C3,Astrict,all_topic_run,0.645,0.865,29.05180980788841
Astrict_all_topic_run,C4,Astrict,all_topic_run,0.672,0.863,24.811467180021012
